Id,Name,Level,Class,SubClass,VendorBuy,VendorSell,MarketValue,MinBuyout,Quantity,NumAuctions,HistoricalPrice,RegionMarketAvg,RegionMinBuyoutAvg,RegionQuantity,RegionHistoricalPrice,RegionSaleAvg,RegionAvgDailySold,RegionSaleRate,,0.12400874
11134,Lesser Mystic Essence,30,Consumable,Explosives and Devices,0,0,0,0,0,0,0,104438,49999,2,104438,0,0,0,,
11135,Greater Mystic Essence,35,Consumable,Explosives and Devices,0,0,0,0,0,0,0,96212,25200,22,96212,0,0,0,,
11137,Vision Dust,35,Consumable,Explosives and Devices,0,0,0,0,0,0,0,103375,63999,41,103375,0,0,0,,
11138,Small Glowing Shard,30,Consumable,Explosives and Devices,0,0,0,0,0,0,0,30726,19800,15,30726,0,0,0,,
11139,Large Glowing Shard,35,Consumable,Explosives and Devices,0,0,0,0,0,0,0,169263,149500,12,169263,0,0,0,,
11174,Lesser Nether Essence,40,Consumable,Explosives and Devices,0,0,0,0,0,0,0,330705,423999,9,330705,0,0,0,,
11175,Greater Nether Essence,45,Consumable,Explosives and Devices,0,0,0,0,0,0,0,710394,679999,20,710394,0,0,0,,
11176,Dream Dust,45,Consumable,Explosives and Devices,0,0,0,0,0,0,0,55237,49199,36,55237,0,0,0,,
11177,Small Radiant Shard,40,Consumable,Explosives and Devices,0,0,0,0,0,0,0,10804,10200,3,10804,0,0,0,,
11178,Large Radiant Shard,45,Consumable,Explosives and Devices,0,0,0,0,0,0,0,1214020,2018348,3,1214020,0,0,0,,
11590,Mechanical Repair Kit,40,Consumable,Explosives and Devices,1000,250,0,0,0,0,0,2112138,2627469,2,3291801,253252,0.18,0.09,,
11818,Grimesilt Outhouse Key,43,Consumable,Explosives and Devices,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
15993,Thorium Grenade,52,Consumable,Explosives and Devices,6000,1500,0,0,0,0,2.00E+05,1724893,2586425,11,1874499,21280,2,0.2,,
16005,Dark Iron Bomb,57,Consumable,Explosives and Devices,5000,1250,0,0,0,0,0,49427594,413749600,18,488088067,0,0,0,,
16023,Masterwork Target Dummy,55,Consumable,Explosives and Devices,40000,10000,0,0,0,0,3.00E+05,257654348,267734890,1,500313158,0,0,0,,
16040,Arcane Bomb,60,Consumable,Explosives and Devices,16000,4000,0,0,0,0,0,6767163,16923500,18,21778799,0,0,0,,
17716,Snowmaster 9000,38,Consumable,Explosives and Devices,30000,7500,0,0,0,0,0,68146282,64698867,1,67910350,45813383,0.02,0.02,,
18232,Field Repair Bot 74A,60,Consumable,Explosives and Devices,40000,10000,0,0,0,0,15987068,32144858,40992700,11,36604988,18781048,0.8,0.1,,
18283,Biznicks 247x128 Accurascope,60,Consumable,Explosives and Devices,100000,25000,0,0,0,0,0,611934302,833141462,1,562464734,441443739,0.1,0.1,,
18587,Goblin Jumper Cables XL,53,Consumable,Explosives and Devices,8000,2000,0,0,0,0,0,584928239,858641610,1,805142925,35080500,0.08,0.08,,
18588,Ez-Thro Dynamite II,40,Consumable,Explosives and Devices,800,200,0,0,0,0,16600,509461,590904,7,761500,227221,0.25,0.05,,
18594,Powerful Seaforium Charge,55,Consumable,Explosives and Devices,12000,3000,0,0,0,0,250000,49816448,51022083,2,64638358,0,0,0,,
18641,Dense Dynamite,45,Consumable,Explosives and Devices,2000,500,187421,50700,20,1,2425558,273485,269670,19,455426,547253,1.36,0.08,,
18645,Gnomish Alarm-o-Bot,53,Consumable,Explosives and Devices,12000,3000,0,0,0,0,0,36327767,43457207,4,37103959,4754275,0.27,0.09,,
18660,World Enlarger,1,Consumable,Explosives and Devices,30000,7500,55873195,0,0,0,100172560,67560180,68228125,1,76321033,31211182,0.04,0.04,,
18984,Dimensional Ripper - Everlook,60,Consumable,Explosives and Devices,20000,5000,0,0,0,0,0,258810961,329589816,1,255574772,105506698,0.02,0.02,,
18986,Ultrasafe Transporter: Gadgetzan,60,Consumable,Explosives and Devices,20000,5000,475547247,483642900,2,2,489678129,263067908,219633595,1,216146746,84501845,0.05,0.05,,
19707,Red Hakkari Bijou,61,Consumable,Explosives and Devices,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
19708,Blue Hakkari Bijou,61,Consumable,Explosives and Devices,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
19709,Yellow Hakkari Bijou,61,Consumable,Explosives and Devices,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
19710,Orange Hakkari Bijou,61,Consumable,Explosives and Devices,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
19711,Green Hakkari Bijou,61,Consumable,Explosives and Devices,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
19712,Purple Hakkari Bijou,61,Consumable,Explosives and Devices,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
19713,Bronze Hakkari Bijou,61,Consumable,Explosives and Devices,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
19714,Silver Hakkari Bijou,61,Consumable,Explosives and Devices,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
19715,Gold Hakkari Bijou,61,Consumable,Explosives and Devices,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
20725,Nexus Crystal,60,Consumable,Explosives and Devices,0,0,0,0,0,0,0,46262,47498,43,46262,0,0,0,,
22728,Steam Tonk Controller,55,Consumable,Explosives and Devices,20000,5000,595297,899800,4,4,91318267,19527857,29539270,1,21850728,3212074,0.02,0.02,,
23736,Fel Iron Bomb,60,Consumable,Explosives and Devices,10000,2500,503618,562800,125,4,433405,3070960,2570457,19,4109872,953328,0.48,0.03,,
23737,Adamantite Grenade,65,Consumable,Explosives and Devices,10000,2500,6795445,8152500,13,2,726460,7735050,5533110,11,10314650,4300,0.1,0.01,,
23764,Adamantite Scope,67,Consumable,Explosives and Devices,10000,2500,0,0,0,0,464845265,107537907,139505721,1,133813368,35750678,0.05,0.05,,
23765,Khorium Scope,72,Consumable,Explosives and Devices,10000,2500,0,0,0,0,0,467331060,533763316,1,297576497,0,0,0,,
23767,Crashin' Thrashin' Robot,55,Consumable,Explosives and Devices,20000,5000,40049791,0,0,0,41411917,77976548,69357512,1,81424177,44901003,0.06,0.06,,
23819,Elemental Seaforium Charge,70,Consumable,Explosives and Devices,24000,6000,0,0,0,0,438796210,22091902,49529450,1,132674291,1337,0.5,0.5,,
23821,Zapthrottle Mote Extractor,61,Consumable,Explosives and Devices,60000,15000,202560164,212284900,1,1,152249907,110445252,157662145,1,134002180,22698299,1,1,,
23826,The Bigger One,65,Consumable,Explosives and Devices,12000,3000,0,0,0,0,0,90010741,116215470,2,95043992,10003460,0.07,0.07,,
23827,Super Sapper Charge,68,Consumable,Explosives and Devices,16000,4000,0,0,0,0,0,30492292,33195600,5,15733548,0,0,0,,
23841,Gnomish Flame Turret,70,Consumable,Explosives and Devices,12000,3000,1901149,1802600,1,1,1480399,5812609,4555280,3,5219630,5774765,0.75,0.25,,
30542,Dimensional Ripper - Area 52,70,Consumable,Explosives and Devices,20000,5000,0,0,0,0,0,218183512,281703108,1,262459967,110742018,0.03,0.03,,
30544,Ultrasafe Transporter: Toshley's Station,70,Consumable,Explosives and Devices,20000,5000,648757820,648829500,1,1,631152381,271703637,221391890,1,267683151,126382194,0.05,0.05,,
32413,Frost Grenade,65,Consumable,Explosives and Devices,10000,2500,0,0,0,0,0,1667206,1704788,15,2852962,2374996,0.68,0.04,,
34113,Field Repair Bot 110G,70,Consumable,Explosives and Devices,40000,10000,23659466,30005000,30,1,16772722,21378903,21800728,20,19485352,11636989,1.44,0.08,,
37567,Healing Injector Kit,80,Consumable,Explosives and Devices,5405,1351,0,0,0,0,0,2151848,4646135,15,4493089,148162,0.65,0.05,,
40536,Explosive Decoy,80,Consumable,Explosives and Devices,4000,1000,406246,343200,37,2,547397,953157,1085090,30,1508611,517746,0.42,0.02,,
40727,Gnomish Gravity Well,85,Consumable,Explosives and Devices,322031,80507,347833400,364630200,3,3,269235248,126370469,127385740,1,118222880,38485322,0.02,0.02,,
40768,MOLL-E,80,Consumable,Explosives and Devices,0,0,40206309,39990100,4,4,42953178,43659374,45061622,2,41654619,20089792,0.03,0.03,,
40769,Scrapbot Construction Kit,80,Consumable,Explosives and Devices,7500,1875,65833471,0,0,0,38128755,12081882,12100359,37,11692522,6838570,1.55,0.05,,
40771,Cobalt Frag Bomb,71,Consumable,Explosives and Devices,2400,600,55114,20900,10,1,4953,1483024,2157284,16,4346160,954905,0.27,0.03,,
40772,Gnomish Army Knife,71,Consumable,Explosives and Devices,9027,2256,6107518,15306700,21,21,4342143,3480850,4171353,11,3897895,1527798,0.78,0.13,,
40892,Hammer Pick,10,Consumable,Explosives and Devices,3000,750,2261474,0,0,0,5141622,2281105,2431891,2,2625766,2999507,0.06,0.03,,
40893,Bladed Pickaxe,1,Consumable,Explosives and Devices,2500,625,3532706,1004800,1,1,6712314,4617155,4863441,2,6054102,2595394,0.02,0.02,,
41119,Saronite Bomb,75,Consumable,Explosives and Devices,1000,250,6575403,0,0,0,7715913,3345531,4969230,47,4619122,2983,2.6,0.05,,
41146,Sun Scope,75,Consumable,Explosives and Devices,200000,50000,146948022,171689900,5,1,120351219,28256597,31577662,2,32714049,21617491,0.03,0.03,,
41167,Heartseeker Scope,80,Consumable,Explosives and Devices,100000,25000,41414572,40171000,1,1,49528111,33472637,45941651,2,39630640,19749247,0.03,0.03,,
